id,name,percent,total
53033032211,322.11,1.000,3361
53033032212,322.12,0.983,5320
53033032213,322.13,0.980,3265
53033032214,322.14,0.990,4351
53033032215,322.15,1.000,3308
53033032307,323.07,0.992,5673
53033032309,323.09,0.875,4193
53033032311,323.11,0.977,5371
53033032313,323.13,0.976,4053
53033032315,323.15,0.997,5116
53033032316,323.16,0.996,4264
53033032317,323.17,0.990,4841
53033032318,323.18,0.986,4208
53033032319,323.19,0.907,3992
53033032320,323.2,0.983,3923
53033032321,323.21,0.984,4084
53033032322,323.22,1.000,2824
53033032323,323.23,0.925,3775
53033032324,323.24,0.916,3739
53033032325,323.25,0.933,3022
53033032326,323.26,0.896,3295
53033032327,323.27,1.000,3706
53033032328,323.28,0.990,2810
53033032329,323.29,0.960,5786
53033032401,324.01,0.966,4830
53033032402,324.02,0.985,5347
53033032500,325,0.998,4960
53033032601,326.01,0.933,2355
53033032602,326.02,0.987,8569
53033032702,327.02,0.993,5785
53033032703,327.03,0.991,1927
53033032704,327.04,0.944,4984
53033032800,328,0.960,2350
